match_id,venue_id,start_time,team_1,team_2,team_1_captain_id,team_2_captain_id,toss_winner,toss_decision,toss_outcome,umpire_id_1,umpire_id_2,umpire_id_3
682897,1,3/16/14 0:00,3,1,88,17,3,Bowl,Win,1,2,3
682899,2,3/16/14 0:00,5,9,133,222,5,Bowl,Lose,4,5,6
682901,3,3/17/14 0:00,7,20,192,491,7,Bowl,Win,7,8,9
682903,3,3/17/14 0:00,10,18,241,431,7,Bat,Win,1,3,5
682905,2,3/18/14 0:00,1,5,16,133,7,Bat,Lose,2,4,6
682907,2,3/18/14 0:00,3,9,88,222,3,Bowl,Win,7,9,10
682909,3,3/19/14 0:00,10,20,241,491,10,Bat,Lose,8,2,3
682911,3,3/19/14 0:00,7,18,192,431,7,Bowl,Win,7,1,2
682913,2,3/20/14 0:00,1,9,17,222,1,Bowl,Lose,5,2,3
682915,2,3/20/14 0:00,3,5,88,133,5,Bowl,Win,8,9,10
682917,3,3/21/14 0:00,18,20,431,491,18,Bowl,Win,11,12,13
682919,3,3/21/14 0:00,7,10,192,241,10,Bowl,Win,14,15,16
682921,1,3/21/14 0:00,6,13,159,317,6,Bowl,Win,11,13,15
682923,2,3/22/14 0:00,16,17,369,406,17,Bat,Win,1,2,3
682925,2,3/22/14 0:00,4,11,106,260,11,Bowl,Win,1,2,3
682927,1,3/23/14 0:00,2,13,38,317,2,Bowl,Lose,4,5,6
682929,1,3/23/14 0:00,6,19,159,458,6,Bowl,Win,7,8,9
682931,2,3/24/14 0:00,11,16,260,369,11,Bowl,Lose,1,3,5
682933,2,3/24/14 0:00,10,17,241,406,17,Bowl,Win,2,4,6
682935,1,3/25/14 0:00,3,19,88,458,3,Bowl,Lose,7,9,10
682937,2,3/27/14 0:00,10,16,241,369,10,Bowl,Lose,8,2,3
682939,2,3/27/14 0:00,4,17,106,406,4,Bowl,Win,7,1,2
682941,1,3/28/14 0:00,2,19,38,458,2,Bowl,Lose,5,2,3
682943,1,3/28/14 0:00,3,6,88,159,6,Bowl,Win,8,9,10
682945,2,3/29/14 0:00,10,11,241,260,11,Bowl,Win,11,12,13
682947,2,3/29/14 0:00,4,16,106,369,4,Bowl,Lose,14,15,16
682949,1,3/30/14 0:00,3,13,88,317,13,Bat,Win,11,13,15
682951,1,3/30/14 0:00,2,6,38,159,2,Bowl,Lose,1,2,3
682953,2,3/31/14 0:00,4,10,106,241,4,Bowl,Lose,4,5,6
682955,2,3/31/14 0:00,11,17,260,406,11,Bowl,Lose,7,8,9
682957,1,4/1/14 0:00,3,2,88,38,3,Bat,Lose,1,3,5
682959,1,4/1/14 0:00,13,19,317,458,19,Bat,Win,7,9,10
682961,1,4/3/14 0:00,17,19,406,458,17,Bat,Win,8,2,3
682963,1,4/4/14 0:00,6,16,159,369,16,Bat,Win,7,1,2
682965,1,4/6/14 0:00,6,17,159,406,17,Bowl,Win,5,2,3
951309,4,3/9/16 0:00,3,10,88,241,10,Bowl,Lose,11,13,15
951311,4,3/9/16 0:00,7,12,192,273,7,Bat,Lose,1,2,3
951313,5,3/10/16 0:00,15,20,354,491,20,Bat,Win,4,5,6
951315,5,3/10/16 0:00,1,5,17,134,5,Bat,Lose,7,8,9
951319,4,3/11/16 0:00,3,7,88,192,7,Bowl,No Result,1,3,5
951321,5,3/12/16 0:00,1,20,17,491,1,Bat,Win,7,9,10
951323,5,3/12/16 0:00,5,15,134,354,5,Bat,Lose,8,2,3
951325,4,3/13/16 0:00,7,10,192,241,7,Bowl,Lose,7,1,2
951327,4,3/13/16 0:00,3,12,88,273,12,Bowl,Lose,5,2,3
951329,5,3/15/16 0:00,6,11,159,260,11,Bat,Win,7,8,9
951331,6,3/15/16 0:00,4,19,106,458,19,Bowl,Win,1,3,5
951333,7,3/15/16 0:00,3,13,88,317,13,Bat,Win,2,4,6
951335,7,3/17/16 0:00,1,17,17,425,1,Bat,Lose,7,9,10
951337,4,3/18/16 0:00,2,11,38,260,11,Bat,Win,8,2,3
951339,6,3/18/16 0:00,4,16,106,369,4,Bowl,Win,11,12,13
951341,7,3/19/16 0:00,6,13,159,317,6,Bowl,Win,14,15,16
951343,6,3/20/16 0:00,1,16,17,369,16,Bat,Win,11,13,15
951345,8,3/20/16 0:00,17,19,425,458,19,Bowl,Win,1,3,5
951347,8,3/21/16 0:00,2,3,38,88,2,Bowl,Win,2,4,6
951349,9,3/22/16 0:00,11,13,260,317,11,Bat,Win,7,9,10
951351,10,3/23/16 0:00,1,4,17,106,4,Bat,Win,11,13,15
951353,8,3/23/16 0:00,6,3,159,88,3,Bowl,Lose,1,2,3
951355,9,3/25/16 0:00,2,13,38,317,2,Bat,Win,4,5,6
951357,5,3/25/16 0:00,16,19,369,458,19,Bowl,Win,7,8,9
951359,7,3/26/16 0:00,3,11,88,260,11,Bat,Win,1,3,5
951361,10,3/26/16 0:00,4,17,106,425,17,Bowl,Lose,7,9,10
951363,9,3/27/16 0:00,6,2,159,38,2,Bat,Lose,8,2,3
951365,5,3/27/16 0:00,1,19,17,461,19,Bowl,Lose,7,1,2
951367,10,3/28/16 0:00,16,17,369,425,16,Bowl,Win,5,2,3
951369,10,3/30/16 0:00,4,11,106,260,4,Bowl,Win,7,8,9
951371,6,3/31/16 0:00,6,19,159,461,19,Bowl,Win,1,3,5
951373,7,4/3/16 0:00,4,19,106,461,19,Bowl,Win,2,4,6
